国别,年号,名号,姓名,起HE,止HE,公元纪年,改元月份,元年干支,使用年数,所属朝代
中国,,武王,姬发,8955,8959,-1046,,乙未,4,西周
中国,,成王,姬诵,8959,8981,-1042,,己亥,22,西周
中国,,康王,姬钊,8981,9006,-1020,,辛酉,25,西周
中国,,昭王,姬瑕,9006,9025,-995,,丙戌,19,西周
中国,,穆王,姬满,9025,9080,-976,,乙巳,55,西周
中国,,共王,姬繄扈,9079,9102,-922,,已亥,23,西周
中国,,懿王,姬囏,9102,9110,-899,,壬戌,8,西周
中国,,孝王,姬辟方,9110,9116,-891,,庚午,6,西周
中国,,夷王,姬夑,9116,9124,-885,,丙子,8,西周
中国,,厉王,姬胡,9124,9161,-877,,甲申,37,西周
中国,,共和,,9160,9174,-841,,庚申,14,西周
中国,,宣王,姬静,9174,9220,-827,,甲戌,46,西周
中国,,幽王,姬宫湦,9220,9231,-781,,庚申,11,西周
中国,,平王,姬宜臼,9231,9282,-770,,辛未,51,东周
中国,,桓王,姬林,9282,9305,-719,,壬戌,23,东周
中国,,庄王,姬佗,9305,9320,-696,,乙酉,15,东周
中国,,釐王,姬胡齐,9320,9325,-681,,庚子,5,东周
中国,,惠王,姬阆,9325,9350,-676,,乙巳,25,东周
中国,,襄王,姬郑,9350,9383,-651,,庚午,33,东周
中国,,顷王,姬壬臣,9383,9389,-618,,癸卯,6,东周
中国,,匡王,姬班,9389,9395,-612,,己酉,6,东周
中国,,定王,姬瑜,9395,9416,-606,,乙卯,21,东周
中国,,简王,姬夷,9416,9430,-585,,丙子,14,东周
中国,,灵王,姬泄心,9430,9457,-571,,庚寅,27,东周
中国,,景王,姬贵,9457,9482,-544,,丁巳,25,东周
中国,,悼王,姬猛,9481,9482,-520,,辛巳,1,东周
中国,,敬王,姬匄,9482,9526,-519,,壬午,44,东周
中国,,元王,姬仁,9526,9533,-475,,丙寅,7,东周
中国,,贞定王,姬介,9533,9561,-468,,癸酉,28,东周
中国,,哀王,姬去疾,9560,9561,-441,,庚子,1,东周
中国,,思王,姬叔,9560,9561,-441,,庚子,1,东周
中国,,考王,姬嵬,9561,9576,-440,,辛丑,15,东周
中国,,威烈王,姬午,9576,9600,-425,,丙辰,24,东周
中国,,安王,姬骄,9600,9626,-401,,庚辰,26,东周
中国,,烈王,姬喜,9626,9633,-375,,丙午,7,东周
中国,,显王,姬扁,9633,9681,-368,,癸丑,48,东周
中国,,慎靓王,姬定,9681,9687,-320,,辛丑,6,东周
中国,,赧王,姬延,9687,9746,-314,,丁未,59,东周
中国,,昭襄王,嬴则/稷,9695,9751,-306,,乙卯,56,秦
中国,,孝文王,嬴柱,9751,9752,-250,,辛亥,1,秦
中国,,庄襄王,嬴子楚,9752,9755,-249,,壬子,3,秦
中国,,始皇帝,嬴政,9755,9792,-246,,乙卯,37,秦
中国,,二世皇帝,嬴胡亥,9792,9795,-209,,壬辰,3,秦
中国,,高帝,刘邦,9795,9807,-206,,乙未,12,西汉
中国,,惠帝,刘盈,9807,9814,-194,,丁未,7,西汉
